publishedAt,textDisplay,label
2024-01-07T14:56:47Z,ganjar makan sukses keren bgt,1.0
2024-01-09T18:18:41Z,ya yg omong hati amp yg indah literasi amp janjijanji brsalam damai amp toleransi,
2024-01-09T16:51:46Z,disni ganjar kuasa materi prabowo tulus layan rakyat,
2024-01-09T15:38:13Z,kalo rela mati knp gabung jokowi hrsnya jd oposisi utk kontrol kerja jokowi,
2024-01-12T12:14:45Z,lu komen tonton pake otak ambil potong ganjar anies liat visi misi,
2024-01-08T18:30:57Z,tema perthanan bos pas jabat prabowo jqdi menhan prabowo transfaran paslon,
2024-01-08T10:20:49Z,no sibuk menjatukan no sibuk pikir negara maju kemarin sampe skrg setia dukung probowo,
2024-01-08T09:43:59Z,mosok,
2024-01-08T05:11:39Z,istanamassage gimana kasih bambang kalo lihat prestasi d acara debatliat aja d prestasi jabat paslon paslon gubernur ya prestasi paslon menhan lihat prestasi nya paslon otu prestasi gubernur nilai paslon gak ribetquot liat aja kerja nya d perintah kaua gimana,
2024-01-08T02:17:29Z,haru bgt dgn yg aniesbeliau kondisi indonesiatahu kondisi masyarakat indonesia,
2024-01-08T01:54:00Z,pk anies cocok jdi sales marketing ganjar cocok jdi motivator pk prabowo cocok jdi ri,
2024-01-08T01:27:39Z,strategi attack sahquot aja emg debat personal mas jalan tema seru debat kali,
2024-01-07T21:35:00Z,no,
2024-01-07T23:49:06Z,debat adu argumen adu gagas salah ga kritik ga maju pola pikir ky lu,
2024-01-07T23:07:33Z,nama debat ya gitu kalo musyawarah gak jatuh,
2024-01-07T18:45:15Z,cmn susah byk yg hasut bruh jdi baperan yg bilang dingin cmn dingin sipenghasut panas yg kena hasut,
2024-01-07T17:14:20Z,no calon yg baik masa semangat pk prabowoniat tulus bangsa indonesia,
2024-01-07T17:29:21Z,prabowo emang nya d menhan,
2024-01-07T17:02:58Z,ganjar moga allah pimpin amanah rakyat indonesia,
2024-01-07T16:57:24Z,anis baswedan sosok pimpin layak pimpin negerei brbrpaket komplit anies brsemoga menang tggl feb amin,
2024-01-07T16:24:28Z,wowo aamiin,
2024-01-07T16:49:56Z,pimpin ancam apa titik,
2024-01-07T17:02:19Z,ganjar yg pimpin indonesia amin pandai omon omon prabowo pantas pimpin,
2024-01-07T16:02:01Z,ragu pilih nomer karna debat main aman ganjar g visi misi yg,
2024-01-07T15:41:01Z,yg enak jelas anis jelastegasakuratsesuai,
2024-01-07T16:13:52Z,menang,
2024-01-07T15:29:25Z,orang pintar cerdas iman jatuh paselon kayaknanis isi hati xumaniri dengki berfikir jelek prabowo ganjar yg cermin hati yg busuk anis mbokyao lomba lomba bicara yg berfikir orangblai jelek anis yg jelek hati busuk ak salut prabowo ganjar,
2024-01-07T15:23:48Z,lihat polingnya debat no ttep tinggi,
2024-01-07T15:14:24Z,lu nikahin aja prabowo mumpung jomblo,
2024-01-20T10:05:37Z,hati dgn pilih andakarena tentu rakyat indonesiajangan sesal dtg nya terlambatdari hati kamisuara utk prabowo mas gibran,
2024-01-13T17:39:39Z,rakyat butuh actiontindakan dar teoriberkata moga rakyat indonesia bijaksana pilih pimpin,
2024-01-10T16:31:25Z,debat tau kalo visi misi paslon yg menjatohkan harga orang dg nyinyir,
2024-01-10T16:24:13Z,siappp dukung bp prabowo gibran ri yg sabar ya,
2024-01-10T13:22:28Z,insya allah prabowo the winner nya mari dukung capres sabar amp suka salah kandidat aamiin,
2024-01-09T14:25:17Z,prabowo sosok pimpin yg milik indonesia karna prabowo cari kaya cari sejahtera rakyatny,
2024-01-10T10:07:55Z,dansojelita serah hak singgung agama mu lucu lu,
2024-01-11T02:58:31Z,smakin kliatan klo kritis dlm brfikir smoga amin menang,
2024-01-08T14:31:08Z,salut prabowo moga presiden amanah indonesia emas,
2024-01-08T06:36:33Z,anis kayak emang ngerasa udah gabakal presiden jatuhin prabowo semangatt all prabowo,
2024-01-08T06:09:33Z,judunyal aja debat ya upaya jatuh lawan debat cari titik lemahnyakalau tuju dapat ya ndak debat,
2024-01-08T03:38:51Z,iya bang,
2024-01-08T00:45:47Z,bunggg tpi ikhlas bareng pikir teori maju indonesia yah zonk lo presiden ambil putus negara modal ikhlas dukung teori selesai negeri putus baik,
2024-01-07T23:26:52Z,kali ganjar jitu jeli adem sopan bagus ken dukung ganjar,
2024-01-07T19:20:22Z,saluttt bgt sm prabowo,
2024-01-07T19:17:40Z,dua penuh intrik penuh dg hasrat siasat tarik perhati masyarakat prabowo ihlas tulus pikir bangsa negara indonesia cinta prabowo legowo,
2024-01-07T20:00:08Z,hahahaha bot ya blunder gitu pilih,
2024-01-07T18:47:26Z,alutsista bekas food estate anggar tahan yg lu maksud nyerang bro,
2024-01-07T18:00:39Z,prabowo yg makmur rakyat cinta tanah air setia rakyat,
2024-01-07T17:24:12Z,yg rahasia yg dipublis yg putar yg dipublis sebenernya jangn elak kalo elak tau tdk kuasa,
2024-01-07T19:13:33Z,sabar kalo mah emang gaada bahan rujuk debat kuasa topik bicara,
2024-01-07T16:55:10Z,abah masyaallah tabarakallah allahuakbar abahallah swt menang abah,
2024-01-07T16:34:24Z,amin mantabbb aamiin,
2024-01-07T16:33:52Z,pimpin muluk byk umbar janji jatuh lawan jatuh manusia jatuh benar cari jalan gama,
2024-01-07T16:36:20Z,no bukti berani no,
2024-01-07T16:12:53Z,nanam singkong yg ngerjakan usaha udah gagal total pakai uang rakyat tp yg tanggungjawab,
2024-01-07T15:56:39Z,prabowo mantab,
2024-01-07T15:56:28Z,prabowo gibran,
2024-01-07T15:52:01Z,serang akademis memang boleh tendensius objektif kaya ga nyaman banget denger akademisibrbrnoted quotsemakin bicara celah dapat salah kalimat keluar,
2024-01-07T16:02:59Z,coba check mata najwa nobar mata najwa data nya yg sesuai fakta yg kata fakta nya anis baswedan data yg jokowi lahan brp ratus hektar rumah militer tahan,
2024-01-07T15:31:41Z,skor debat capres tiga branies brganjar brprabowo brbr gagas omonomon,
2024-01-07T15:10:58Z,mudah calon capres indonesia jujur pinter sayang rakyat plonga plongo,
2024-01-07T15:06:47Z,insyaallah allah meridoi nomor amn,
2024-01-07T15:02:36Z,anies ri cerdas,
2024-01-07T15:03:02Z,ahli mnjadi nomor indonesiq,
2024-01-09T14:52:26Z,banget,
2024-01-09T13:06:42Z,tahun hebat debat nya lucu pa prabowo hebat pa terima kasih jaga tahan negara pa sehat ya pa indonesia nya orang bapa pa maju indonesia merdeka pa,
2024-01-09T14:12:31Z,gimana gak jatohin rakyat milih putus asa bahas visi misi mending ngejatuhin upss,
2024-01-08T11:49:27Z,lihat debat jdi gak golput suara guna indonesia maju no,
2024-01-08T11:03:21Z,wkkwkw dukung sono orang emosi,
2024-01-08T06:58:56Z,ganjar muas,
2024-01-08T03:37:15Z,bismilah ganjar,
2024-01-08T01:15:38Z,iyamalah cuman pengin menjatuhkankacang lupa kulit nya omong manis banyak makan gula,
2024-01-08T01:30:26Z,liat anis ken banged jatuhin calon is another busuk tetep prabowo,
2024-01-07T23:28:58Z,papar p anies buka wawas tetang tahan bangsa amat pakar yg cenderung ga ubah sisi yg sempit tahan pondasi dasar rakyat jendral sudirman,
2024-01-07T22:24:05Z,politik jatuh hidup prabowo bicara kerja nyata,
2024-01-07T20:31:52Z,percaya hebat apa drama panggung debat pimpin negeri ending nya samalo gak kerja lo gak makan a href,
2024-01-07T20:18:47Z,probowo negarawan konsisten jaga juang rakyat banding sibuk layan serang paslon gak alam negara beliau tau jaga rahasia tahan dalam konflik penting urai banding bicara,
2024-01-07T19:26:23Z,allah maha kalo jelek bawa bawa nama allah,
2024-01-07T20:41:42Z,paslon pandai berkatakata hati perhati mimik eksperesi wajah jatuh lawan paslon kasiaan liat prabowo bahan serang debat capres prabowo hati tulus ikhlas negara x coblos beliau tegar percaya negara prabowo menang,
2024-01-07T18:37:25Z,anis yg paham negara beliau bicara yg menjdi nyata yg negara yg kunjung selesai indonesia butuh pimpin anis cerdas santun gap,
2024-01-07T18:25:18Z,mantap dukung no amin,
2024-01-07T19:08:44Z,gada kerja bro,
2024-01-07T16:41:19Z,moga njenengan pilih pimpin negara prabowo,
2024-01-07T16:18:20Z,yong anis amin cerdas sinar gagah pilih amin insya alloh menang,
2024-01-07T15:41:34Z,amin,
2024-01-07T15:40:48Z,amiin,
2024-01-07T15:57:09Z,yg ambisi capres berkalikali,
2024-01-07T16:21:08Z,emosional tri tahan loh yaiyalah ngomong nya kalo anis mah banyak puitis udah kyk vicky prasetyo,
2024-01-07T16:10:50Z,nama debat gimana sih,
2024-01-07T16:16:51Z,yg serang menhan keperibadian,
2024-01-07T15:27:28Z,gama baik,
2024-01-07T15:25:53Z,rakyat udah cerdasbrpasti pilih pimpin yg udah alam amp anti koropsi brgak percaya janjiquot yg manis mulut sajabrakhirnya lupa janjiquotnya,
2024-01-07T15:14:01Z,ahli ngomong banget luar rg ahli ngomong semu salah dimatanyabradakah pikat orang pandai bicara pidato diplomasi,
2024-01-07T15:13:43Z,pinter ngomong tp sayang dlm omonganya kliatan bngt gampang tp blm yg lontar br glagepan sembunyi kerja nya slama kena skakmat br dlm dngn data yg real jg milik pandang yg negara brjarjibeh laka lawan libas sat sett,
2024-01-07T15:04:53Z,saa hendra hendarsahgarut jawa barat dukung capres nourut anis baswedan menang februari,
2024-01-07T15:00:59Z,insyaallah amin yg terbaikamiin,
2024-01-07T14:59:50Z,mantap o,
2024-01-12T09:41:09Z,nomor urut emosional acara resmi debat capres,
